상품명,주종,도수,용량,한 줄 설명,태그,맛,향미그래프,설명,
이도 42%,증류식소주,42.00%,"375ml, 750ml",유기농 쌀 소주의 진면목을 알아가 보세요,#대상 받은 쌀 소주 #부드러운 쌀의 단맛,달콤함 뒤에 올라오는 알싸한 향,"향의계열:고소2,화사1|연상되는향:쌀밥|향의강도:4|여운:4|바디:4","[이도 42], 어떤 맛을 갖고 있나요?



 감미료로는 흉내 낼 수 없는 쌀의 달콤한 맛이



스쳐 지나가는데요.



높은 도수답게 목 넘김 후 코로 올라오는



알싸한 향이 매력적이랍니다.



마신 후 혀에 남는 달콤씁쓸함이



마치 어릴 적 먹던 달고나를 생각나게 하는 재밌는 술이에요.
[이도 42], 어떤 음식과 잘 어울리나요?



도수에 비해 부드러운 편이라서



평소 소주와 즐겼던 안주들과 잘 어울리는 편인데요.



그중에서도 시원한 국물이 일품인 탕 요리나



조금은 매콤한 육류 요리들이 술의 풍미를 살려준답니다.
[이도 42], 알고 마시면 더 맛있어요!



‘이도 42’의 이도는 ‘세종대왕’이란 의미와 함께



‘다른 길을 간다’라는 의미도 있는데요.



여기서 다른 길은 ‘유기농 쌀’과 ‘토종 효모 N9’를



이용해서 빚는 유기농 소주를 뜻하기도 합니다.





부드러운 맛과 이취 차단을 위해 압력을 낮춰 증류하는



감압식 증류 방식으로 만들어지며,



일정하고 구수한 향을 위해 1년 넘게 숙성을 한답니다.
",
죽향 41% 화이트,증류식소주,41%,375ml,담양의 향기를 가득 담은 쌀 증류주,#진한 구수함 #화려한 작열,고구마에서 느낄 수 있는 진한 구수함,향의계열:고소2|화사1|연상되는향:고구마|향의강도:4|여운:4|바디:5,"[죽향 41% 화이트], 

어떤 맛을 갖고 있나요?



술을 마시자마자 펀치 한 방을 맞은 것처럼



알코올이 코를 치고 올라옵니다.



그 뒤로 고구마에서 느낄 수 있는 진한 구수함이



아픈 곳을 달래주기라도 하는 듯 부드럽게 내려앉죠.



하지만 부드러움도 잠시, 



목으로 넘어간 술이 화려한 작열감을 선사하며



다시 한 번 자극을 줄 거예요. 



그 느낌은 오래도록 유지되니 긴장감 놓치지 말고 즐겨보세요.
[죽향 41% 화이트], 

어떤 음식과 잘 어울리나요?



지역색이 잘 담겨있는 죽향 41%는 



담양을 대표하는 음식과 드시는 것을 추천해 드려요.



본래 지역 쌀로 빚은 술은



그 지역의 음식과 가장 조합이 잘 어울리는 법이거든요.



게다가 술의 진한 맛만큼이나



짙은 풍미를 자랑하는 남도 음식까지 더해지면



입 안을 꽉 채우는 듯한 풍성함에 든든함을 절로 느끼게 될 거예요.
[죽향 41% 화이트], 

알고 마시면 더 맛있어요!



총 3번의 발효를 거치는 삼양주 기법으로 발효 원주를 만들어요.



두 달가량 숙성을 마친 원주는 맑은 부분만 떠내고 



토종 벌꿀을 섞어 증류한다고 합니다.



그 이유는 증류했을 때 다양한 풍미를 끌어올리기 위해서라고 해요.



증류는 상압 방식으로 이뤄지며 후에



항아리에서 1년간 숙성을 거치면 죽향 소주로 탄생하게 돼요.",
미르아토 샤인머스켓 화이트 스파클링,과실주,5%,750ml,영동의 샤인머스캣으로 만든 스파클링 와인,#싱그러운 청포도 향 #끝에 퍼지는 쌉쌀함,입안 곳곳을 아쉽지 않게 채워주는 탄산감,단맛:3|산미:4|탄닌:0|바디:2|탄산:3,"[미르아토 샤인머스켓 화이트 스파클링], 

어떤 맛을 갖고 있나요?



연한 청포도의 향이 싱그럽게 퍼져요. 



너무 가볍다고 생각할 수 있겠지만 



톡톡 터지는 탄산이 입안 곳곳을 채워주며 



아쉬움을 느끼지 못하게 만들어 줄 거예요. 



술을 넘긴 뒤에는 씁쓸함이 남아 여운을 선사해줍니다.
[미르아토 샤인머스켓 화이트 스파클링], 

어떤 음식과 잘 어울리나요?



신나는 일이 가득한 파티 자리에서는



스파클링 와인이 빠질 수 없겠죠! 



친구들을 한껏 불러 모은 술자리에서 



식전주로 한잔 곁들여보세요. 



술의 산뜻한 산미가 입맛을 돋우기는 물론, 



입안에서 톡톡 튀는 탄산으로 인해



더욱 신나는 분위기가 만들어질 거예요.
[미르아토 샤인머스켓 화이트 스파클링], 

알고 마시면 더 맛있어요!



충청북도 영동에서 재배한 샤인머스캣을 수확하여



한 달 가량 발효 과정을 거쳐요. 



포도가 와인으로 만들어지면 1년 동안 숙성까지 거친 후



탄산 가스를 넣어 샤인머스켓 화이트 스파클링으로 만들어집니다.
",
용봉소주 25%,증류식소주,25.00%,500ml,복을 가져다주는 용과 봉황의 기운을 잔뜩 받아보세요,#열대과일의 산뜻한 향 #깔끔한 목넘김,싱그러운 열대과일 향의 깔끔한 소주,"향의계열:고소2|연상되는향:군옥수수,볏짚,쌀밥|향의강도:2|여운:2|바디:2","[용봉소주 25%],

어떤 맛을 갖고 있나요?



망고나 파인애플에서 느껴질 법한



싱그럽고 달달한 향을 가진 술이에요.



참숯 여과를 거친 술인만큼



물처럼 깔끔한 맛을 느껴볼 수 있습니다.



술을 마신 뒤에 느껴지는 고소함은



술을 더욱 풍미 있게 즐길 수 있도록 이끌어 줄 거예요.
 [용봉소주 25%], 

어떤 음식과 잘 어울리나요?



재료 본연의 맛과 향이 우러난 맑은 국물 요리와 함께 드셔보세요.



맑은 국물과 어우러지는 술의 맛은



입안 가득 깔끔한 풍미를 느끼게 만듭니다.



매번 첫 숟갈을 뜨는 것만 같은 착각을 불러일으킬지도 몰라요!
[용봉소주 25%], 

알고 마시면 더 맛있어요!



먼저 홍성의 유기농 햅쌀로 막걸리를 만들어요.



그다음 압력과 함께 끓는점을 낮추고 가열하는 방식인



감압식 증류를 통해 소주를 내립니다.



이렇게 만들어진 증류 원액은 



참숯 여과와 6개월 이상의 저온 숙성을 거쳐 완성되는데요.



그 덕에 깔끔한 목 넘김과 풍부한 술의 향을 느낄 수 있습니다.",
아이엠더문 오리지널,리큐르,17.00%,"375ml, 750ml",파티를 책임져줄 우리나라 전통주,#전통주 입문자용 #파티,달콤하게 즐길 수 있는 과일 증류주,"향의계열:달콤2|연상되는향:딸기,망고,오렌지|향의강도:4|단맛:5|여운:2|바디:4","[아이엠더문], 어떤 맛을 갖고 있나요?



‘아이엠더문’은 알쓰도 맛있게 즐길 수 있는



달콤하고 향기로운 과일 리큐르입니다.



한 입 머금으면 새콤달콤한 열대과일 풍미를 느낄 수 있는데요.



끝에서 올라오는 씁쓸함 덕에



비로소 술이란 것을 깨닫게 될 거에요.



증류식 소주 ‘이도’를 첨가해 만든 리큐르인 만큼



‘이도’의 부드럽고 깊은 풍미가 살짝 담겨 있는 술이기도 합니다.
[아이엠더문], 어떤 음식과 잘 어울리나요?



시원하게 얼음을 넣어 마셔도 좋고



탄산수나 자몽 주스 등 여러 음료수를 이용해서



나만의 칵테일로 만들어 마시기에도 좋은 술입니다.



핑거푸드, 슬라이스 햄, 연어 샐러드처럼 간단한 안주와



함께한다면 더욱 맛있게 술을 마실 수 있을 거예요~
[아이엠더문], 알고 마시면 더 맛있어요!



‘아이엠더문’은 다채로운 모습을 가진 달처럼



‘우리 술 분야에 새로운 영감과 화두를 던져보자!’



라는 의미로 탄생한 술입니다.



현대적인 디자인과 달콤한 맛을 지닌 덕에



젊은 층도 어렵지 않게 접근하여 즐길 수 있는데요.



아직도 전통주가 낯설게 느껴지신다면



‘아이엠더문’으로 시작해 보시는 건 어떨까요?",
어미실 와인 화이트 스위트,과실주,10.50%,500ml,달콤한 화이트 와인을 찾으신다면!,#직접 재배한 청수로 만든 #입안을 가득 채우는 달콤함,입안을 꽉 채우게 만드는 포도의 달콤함,단맛:5|산미:4|탄닌:0|바디:4|탄산:4,"[어미실 와인 화이트 스위트], 

어떤 맛을 갖고 있나요?



잘 익은 포도알들을 입에 가득 넣은 듯, 



입안을 꽉 채우는 달콤함을 고스란히 담아보세요. 



그다음 혀를 짜릿하게 만드는 새콤한 맛은



자칫 단맛으로만 지배되어 단조로워질 술맛을



더욱 풍성하게 만들어준답니다. 



술을 마시고 난 뒤에는 맛과 향이 입안에 오래 남아있지는 않지만



진한 단맛으로 인해 목 안이 살짝 칼칼해지는 것을



경험할 수 있을 거예요.
[어미실 와인 화이트 스위트], 

어떤 음식과 잘 어울리나요?



입안을 매섭게 자극하는 매운 음식과 함께 즐겨보세요. 



매콤과 달콤 조합은 떼려야 뗄 수 없는 조합인만큼



맵게 달아오른 입안에 달콤함이 착 감겨



매운맛이 금방 사그라들게 해줄 거예요. 



또한 달콤한 술맛은 달콤한 음식과 함께했을 때



더욱 그 진가를 발휘하곤 하죠. 



식후에 디저트로 달콤한 음식과 즐기신다면



입안 가득 차오르는 달콤함에 덩달아 기분이 좋아지게 될 거예요. 
[어미실 와인 화이트 스위트], 

알고 마시면 더 맛있어요!



양조장에서 직접 재배한 양조용 포도인 청수와



효모를 넣어 만드는 술이에요.



2달의 발효 기간을 거쳐 만들어진 와인은 껍질과 씨앗뿐만 아니라



작은 불순물까지 걸러내기 위해 여과를 거치게 됩니다. 



그다음 약 1년의 숙성을 마친 뒤, 



생선의 꼬리를 닮은 지역이라는 뜻인



양조장이 위치한 마을의 옛 이름 ‘어미실’을 붙여 완성돼요.",
안동소주 일품 40% 골드,증류식소주,40.00%,500ml,안동소주 일품 시리즈의 끝판왕 ‘골드’,#안동소주에 오크 한 스푼 #달콤한 감칠맛,쌀의 짜릿한 감칠맛을 느낄 수 있어요,"향의계열:화사2|연상되는향:박하사탕,바닐라|향의강도:4|여운:4|바디:4","[안동소주 일품 40% 골드],

어떤 맛을 갖고 있나요?



마시기 전 오크 향이 가볍게 코를 스치는데요.



혀에 닿자마자 짜릿하게 다가오는 쌀의 감칠맛이



그야말로 일품이랍니다!



목을 넘긴 후에도 입안에 맴도는 달콤한 여운과



상쾌한 느낌을 받을 수 있을 거예요.
[안동소주 일품 40% 골드],

어떤 음식과 잘 어울리나요?



묵직한 단맛을 느끼고 싶다면



상온에 둔 후 즐기시면 되고요.



높은 도수가 부담스러운 분들은



얼음을 넣어 온더락으로 마시는 것을 추천해 드려요.





기름진 음식의 느끼한 맛을 싸-악 잡아주는 술이기도 하니



배에 기름칠 제대로 해보자고요 :)
[안동소주 일품 40% 골드],

알고 마시면 더 맛있어요!



'안동소주 일품'에서 만든 소주



감압식 증류와 냉동 여과를 포함한



총 2번의 여과를 거친 술이에요.



그 덕에 맑고 깔끔한 맛을 자랑하고 있죠!





그중에서도 ‘안동소주 일품 40% 골드’ 버전은



오크통에 숙성된 증류 원액을 함께 사용하여



중후한 풍미까지 갖췄는데요.





2015년에는 우리술 품평회 증류주 부문에서



대상을 거머쥔 우수한 술이랍니다.",
수제 약주 별바랑,약주,17.50%,375ml,생쌀 발효로 만든 수제 약주,#세계가 인정한 술 #맛있는 산미,누룩향 없이 깔끔하고 새콤달콤하게 마실 수 있는 약주,단맛:3|산미:5|씁쓸:1|바디:4,"[별바랑], 어떤 맛을 갖고 있나요?



‘별바랑’은 산뜻한 향을 내뿜는 약주에요.



향 만큼이나 맛에서도 강렬한 산미를 느낄 수 있는데요.



찌릿함도 잠시! 금방 치고 올라오는



찐~한 단맛과 목에서부터 따뜻하게 올라오는 작열감 덕에



마음이 금방 차분해 지실 거예요.
[별바랑], 어떤 음식과 잘 어울리나요?



‘별바랑’은 도수가 높고 산미가 뒷받쳐주는 술인 만큼



맑은탕류나 기름진 음식과 곁들일 때 좋은 페어링을 보여줍니다.

 

또 약주 특유의 새콤달콤함은 해산물의 비릿한 바다향을 없애줘



낙지, 문어요리와 함께 깔끔하게 즐기기에도 좋은 술입니다.
[별바랑], 알고 마시면 더 맛있어요!



‘별바랑’을 누룩향 없이 부드럽게 마실 수 있는 이유는



다른 탁, 약주에 비해 1/10정도의 누룩만을 사용하기 때문인데요.



생쌀발효와 적은 누룩의 사용량(약 1%)은



금계당의 전매특허 양조 기법입니다.



또한 생쌀, 백설기, 고두밥으로 총 3단 담금 후에



저온 숙성을 거치는데요.



그 덕에 순하고 부드럽게 넘어가는 약주가 탄생하게 되었습니다.",
경복궁 소주 40%,증류식소주,40%,350ml,조선 대표 궁궐인 경복궁의 품위를 표현한 증류주,#생선구이 #박하의 화사함 #구수한 고구마 향,화려한 작열감을 오래도록 느낄 수 있어요,"향의계열:고소2,화사1|연상되는향:고구마,박하|향의강도:3|여운:4|바디:4","[경복궁 소주 40%], 

어떤 맛을 갖고 있나요?



술을 입에 갖다 대자마자 알코올로 인해



혀가 찌릿해짐을 경험할 수 있어요.



뒤이어 화사한 박하 향이 입안을 가득 채우지만



달콤 구수한 고구마 향이 은은하게 존재감을 드러내며



술맛을 더욱 풍성하게 만들어주죠.



술을 넘긴 뒤에도 알코올이 어디쯤으로



넘어가는지 알 수 있을 정도로



화려한 작열감을 오래도록 느낄 수 있으니 천천히 음미해보세요.
[경복궁 소주 40%], 

어떤 음식과 잘 어울리나요?



아주 기름진 음식도 술의 화사한 마무리를 믿고 함께 드셔보세요. 



알코올의 화사함이 따로 입가심이 필요하다고



느껴지지 않을 만큼 입안을 가득 채워준답니다.



술 한 잔만으로도 속이 뻥 뚫린 것 같은 개운함이 뒤받쳐주니



어떠한 느끼함도 부담스럽지 않을 거예요.
[경복궁 소주 40%], 

알고 마시면 더 맛있어요!



고두밥과 누룩을 섞어 발효 과정을 두 번 거치는 이양주를 빚어요.



발효한 술은 거른 후에 일주일 동안 숙성합니다.



그리고 맑은 부분만 떠내어 다단식 증류기로 두 번 증류하죠.



만들어진 술은 옹기에 보관해 첫 번째 숙성을 하고



도수를 맞추 두 번째 숙성까지 거치면 경복궁 40%로 탄생해요.",
마크홀리 별빛신사리 7% [3병/6병],탁주,7%,500ml,관악구에 반한 마크홀리가 만든 새콤달콤한 막걸리,#고소하면서도 달콤한 #순대볶음과 잘 어울려요,배의 시원한 단맛을 담은 막걸리,단맛:3|산미:2|씁쓸:1|바디:3|탄산:0,"[마크홀리 별빛신사리 7.0], 

어떤 맛을 갖고 있나요?



마시자마자 쌀의 고소한 맛이 입안을 부드럽게 덮어요. 



뒤이어 배를 먹었을 때 느낄 수 있는 시원한 단맛도 올라옵니다.



혀에서 직접적으로 느껴지는 산미는 약할지라도



술을 넘긴 뒤에는 새콤한 풍미가 올라오며 목에 자극을 줄 거예요.
[마크홀리 별빛신사리 7.0], 

어떤 음식과 잘 어울리나요?



서울 신림동에서 주로 먹는 음식과 즐겨보세요.



지역 상권을 대표하기 위해 출시한 특화상품인 만큼



상권을 대표하는 먹거리와는 잘 어울릴 수밖에 없거든요.



특히 매콤한 양념까지 곁들인



곱창볶음이나 불족발과 함께 곁들인다면



술의 시원한 단맛이 입에 묻은 매콤함을 싹 가시게 해줄 거예요.

 [마크홀리 별빛신사리 7.0], 

알고 마시면 더 맛있어요!



지역 상권을 활성화하기 위해 홀리워터와



서울 관악구가 손잡고 만든 막걸리예요.



그래서 술의 이름도 신림동을 테마화한 단어인 



‘별빛신사리(별이 내리는 신림사거리)’를 사용했다고 해요.



게다가 술 안에는 재미있는 스토리도 담겨있는데요.



양조장에서 설정한 가상 인물 마크홀리가



우연히 관악구 별빛신사리 상권을 방문했을 때,



이곳에 매료되어 막걸리까지 만들게 됐다는 얘기랍니다.



라벨에서도 관악구를 상징하는 강감찬 장군 동상과 관악산



그리고 마크홀리가 별빛신사리의 밤하늘을



배경으로 맛을 고민하는 모습



등을 볼 수 있으니 술을 마시며 함께 감상해보세요!",
